16/11/03 19:12:36 INFO myLogger: [MapPartitionsRDD]StartAt:21579548185921,TaskAttempt ID:1,Partition Id:1,Stage Id:0
16/11/03 19:12:36 INFO myLogger: [MapPartitionsRDD]StartAt:21579548391012,TaskAttempt ID:3,Partition Id:3,Stage Id:16/11/03 19:13:33 INFO myLogger: [MapPartitionsRDD]StartAt:21634479263506,TaskAttempt ID:9,Partition Id:1,Stage Id:2
16/11/03 19:13:33 INFO myLogger: [MapPartitionsRDD]EndAt:21634489141031,TaskAttempt ID:9,Partition Id:1,Stage Id:2
1616/11/03 19:14:26 INFO myLogger: [UnionRDD]StartAt:21236359897001,TaskAttempt ID:17,Partition Id:5,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [UnionRDD]StartAt:21236361510784,TaskAttempt ID:21,Partition Id:9,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [UnionRDD]StartAt:21236362337469,TaskAttempt ID:25,Partition Id:13,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [UnionRDD]StartAt:21236365719042,TaskAttempt ID:13,Partition Id:4,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [MapPartitionsRDD]StartAt:21236366053584,TaskAttempt ID:17,Partition Id:5,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ShuffledRDD]StartAt:21236367148345,TaskAttempt ID:17,Partition Id:5,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [MapPartitionsRDD]StartAt:21236368311154,TaskAttempt ID:13,Partition Id:4,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ShuffledRDD]StartAt:21236368971587,TaskAttempt ID:13,Partition Id:4,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ParallelCollectionRDD]StartAt:21236381864636,TaskAttempt ID:21,Partition Id:9,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ParallelCollectionRDD]StartAt:21236381979048,TaskAttempt ID:25,Partition Id:13,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ParallelCollectionRDD]EndAt:21236382717890,TaskAttempt ID:21,Partition Id:9,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ParallelCollectionRDD]EndAt:21236382744591,TaskAttempt ID:25,Partition Id:13,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [UnionRDD]EndAt:21236421837887,TaskAttempt ID:25,Partition Id:13,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [UnionRDD]EndAt:21236467187405,TaskAttempt ID:21,Partition Id:9,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ShuffledRDD]EndAt:21236579404323,TaskAttempt ID:17,Partition Id:5,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [ShuffledRDD]EndAt:21236579759118,TaskAttempt ID:13,Partition Id:4,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [MapPartitionsRDD]EndAt:21236581929889,TaskAttempt ID:13,Partition Id:4,Stage Id:3
16/11/03 19:14:26 INFO myLogger: [MapPartitionsRDD]EndAt:21236581926872,TaskAttempt ID:17,Partition Id:5,Stage Id:3
16/11/03 19:14:34 INFO myLogger: [UnionRDD]EndAt:21244539115240,TaskAttempt ID:17,Partition Id:5,Stage Id:3
16/11/03 19:14:34 INFO myLogger: [UnionRDD]EndAt:21244729556186,TaskAttempt ID:13,Partition Id:4,Stage Id:3
16/11/03 19:14:39 INFO myLogger: [UnionRDD]StartAt:21249337565701,TaskAttempt ID:30,Partition Id:9,Stage Id:4
16/11/03 19:14:39 INFO myLogger: [UnionRDD]StartAt:21249341267791,TaskAttempt ID:34,Partition Id:13,Stage Id:4
16/11/03 19:14:39 INFO myLogger: [UnionRDD]StartAt:21249341523482,TaskAttempt ID:38,Partition Id:4,Stage Id:4
16/11/03 19:14:39 INFO myLogger: [MapPartitionsRDD]StartAt:21249343778881,TaskAttempt ID:38,Partition Id:4,Stage Id:4
