16/11/06 15:38:22 INFO myLogger: [ShuffledRDD]StartAt:6611043198951,TaskAttempt ID:76,Partition Id:3,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [UnionRDD]StartAt:6611050139058,TaskAttempt ID:80,Partition Id:11,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [MapPartitionsRDD]StartAt:6611052305288,TaskAttempt ID:80,Partition Id:11,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [ShuffledRDD]StartAt:6611052728605,TaskAttempt ID:80,Partition Id:11,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [ShuffledRDD]EndAt:6611079026694,TaskAttempt ID:80,Partition Id:11,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [ShuffledRDD]EndAt:6611079629114,TaskAttempt ID:76,Partition Id:3,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [MapPartitionsRDD]EndAt:6611079788470,TaskAttempt ID:80,Partition Id:11,Stage Id:6
16/11/06 15:38:22 INFO myLogger: [MapPartitionsRDD]EndAt:6611080531203,TaskAttempt ID:76,Partition Id:3,Stage Id:6
16/11/06 15:38:37 INFO myLogger: [UnionRDD]EndAt:6626569549557,TaskAttempt ID:80,Partition Id:11,Stage Id:6
16/11/06 15:38:40 INFO myLogger: [UnionRDD]EndAt:6629908597392,TaskAttempt ID:76,Partition Id:3,Stage Id:6
16/11/06 15:39:56 INFO myLogger: [UnionRDD]StartAt:6705323486482,TaskAttempt ID:92,Partition Id:3,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [MapPartitionsRDD]StartAt:6705324342302,TaskAttempt ID:92,Partition Id:3,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [ShuffledRDD]StartAt:6705324639829,TaskAttempt ID:92,Partition Id:3,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [UnionRDD]StartAt:6705330949395,TaskAttempt ID:96,Partition Id:11,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [MapPartitionsRDD]StartAt:6705332678720,TaskAttempt ID:96,Partition Id:11,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [ShuffledRDD]StartAt:6705332978703,TaskAttempt ID:96,Partition Id:11,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [ShuffledRDD]EndAt:6705355736972,TaskAttempt ID:96,Partition Id:11,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [MapPartitionsRDD]EndAt:6705356381976,TaskAttempt ID:96,Partition Id:11,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [ShuffledRDD]EndAt:6705358138418,TaskAttempt ID:92,Partition Id:3,Stage Id:7
16/11/06 15:39:56 INFO myLogger: [MapPartitionsRDD]EndAt:6705359268082,TaskAttempt ID:92,Partition Id:3,Stage Id:7
16/11/06 15:40:00 INFO myLogger: [UnionRDD]EndAt:6709033259067,TaskAttempt ID:96,Partition Id:11,Stage Id:7
16/11/06 15:40:05 INFO myLogger: [UnionRDD]EndAt:6714396857129,TaskAttempt ID:92,Partition Id:3,Stage Id:7
16/11/06 15:41:30 INFO myLogger: [UnionRDD]StartAt:6799861496550,TaskAttempt ID:110,Partition Id:3,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [MapPartitionsRDD]StartAt:6799862312810,TaskAttempt ID:110,Partition Id:3,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [ShuffledRDD]StartAt:6799862595095,TaskAttempt ID:110,Partition Id:3,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [UnionRDD]StartAt:6799867350180,TaskAttempt ID:114,Partition Id:11,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [MapPartitionsRDD]StartAt:6799869060065,TaskAttempt ID:114,Partition Id:11,Stage Id:8
16/11/06 15:41:30 INFO myLogger: [ShuffledRDD]StartAt:6799869686118,TaskAttempt ID:114,Partition Id:11,Stage Id:8
