16/11/03 14:34:52 INFO myLogger: [MapPartitionsRDD]StartAt:4921407306992,TaskAttempt ID:0,Partition Id:0,Stage Id:0
16/11/03 14:34:52 INFO myLogger: [MapPartitionsRDD]StartAt:4921407557089,TaskAttempt ID:3,Partition Id:3,Stage Id:16/11/03 14:35:50 INFO myLogger: [MapPartitionsRDD]StartAt:4973080124320,TaskAttempt ID:10,Partition Id:2,Stage Id:2
16/11/03 14:35:50 INFO myLogger: [MapPartitionsRDD]EndAt:4973090027773,TaskAttempt ID:10,Partition Id:2,Stage Id:16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024489043429,TaskAttempt ID:16,Partition Id:4,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024491444670,TaskAttempt ID:72,Partition Id:60,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024492571330,TaskAttempt ID:28,Partition Id:16,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024493873330,TaskAttempt ID:68,Partition Id:56,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024494014046,TaskAttempt ID:32,Partition Id:20,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024499784365,TaskAttempt ID:36,Partition Id:24,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024499891975,TaskAttempt ID:48,Partition Id:36,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5024501156121,TaskAttempt ID:24,Partition Id:12,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032036870098,TaskAttempt ID:62,Partition Id:50,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032041965719,TaskAttempt ID:38,Partition Id:26,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032044476050,TaskAttempt ID:30,Partition Id:18,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032046547153,TaskAttempt ID:26,Partition Id:14,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032047153878,TaskAttempt ID:74,Partition Id:62,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032048218524,TaskAttempt ID:54,Partition Id:42,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032048514018,TaskAttempt ID:34,Partition Id:22,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032048987883,TaskAttempt ID:18,Partition Id:6,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032049140125,TaskAttempt ID:66,Partition Id:54,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032050260370,TaskAttempt ID:22,Partition Id:10,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032050525312,TaskAttempt ID:50,Partition Id:38,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032051047838,TaskAttempt ID:42,Partition Id:30,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032051225551,TaskAttempt ID:46,Partition Id:34,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032051548105,TaskAttempt ID:58,Partition Id:46,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032053470449,TaskAttempt ID:70,Partition Id:58,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [UnionRDD]StartAt:5032069260789,TaskAttempt ID:14,Partition Id:3,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [MapPartitionsRDD]StartAt:5032074504154,TaskAttempt ID:14,Partition Id:3,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ShuffledRDD]StartAt:5032075845952,TaskAttempt ID:14,Partition Id:3,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032077126096,TaskAttempt ID:62,Partition Id:50,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032077553219,TaskAttempt ID:62,Partition Id:50,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032080053840,TaskAttempt ID:38,Partition Id:26,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032080418188,TaskAttempt ID:38,Partition Id:26,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032081257174,TaskAttempt ID:30,Partition Id:18,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032081628478,TaskAttempt ID:30,Partition Id:18,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032082731793,TaskAttempt ID:34,Partition Id:22,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032083069562,TaskAttempt ID:34,Partition Id:22,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032087617358,TaskAttempt ID:22,Partition Id:10,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032087946653,TaskAttempt ID:22,Partition Id:10,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032088988553,TaskAttempt ID:26,Partition Id:14,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032089317637,TaskAttempt ID:26,Partition Id:14,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032090016756,TaskAttempt ID:74,Partition Id:62,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032090605946,TaskAttempt ID:74,Partition Id:62,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032090978051,TaskAttempt ID:18,Partition Id:6,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032091262395,TaskAttempt ID:18,Partition Id:6,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032093159334,TaskAttempt ID:66,Partition Id:54,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032094032847,TaskAttempt ID:66,Partition Id:54,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032094187561,TaskAttempt ID:42,Partition Id:30,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032094601458,TaskAttempt ID:42,Partition Id:30,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032096075431,TaskAttempt ID:58,Partition Id:46,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032096475372,TaskAttempt ID:58,Partition Id:46,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032096724795,TaskAttempt ID:70,Partition Id:58,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032097212356,TaskAttempt ID:70,Partition Id:58,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032098514225,TaskAttempt ID:54,Partition Id:42,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]EndAt:5032098941899,TaskAttempt ID:54,Partition Id:42,Stage Id:3
16/11/03 14:36:43 INFO myLogger: [ParallelCollectionRDD]StartAt:5032099077865,TaskAttempt ID:50,Partition Id:38,Stage Id:3
